	MAEN	MAPE	R2	MSE	Um	Us	Uc
Rx misuse	0.06991504738094477	0.07736421480576715	0.896295314074334	469789567845.4545	0.005240375524265394	0.2880459877273132	0.7067136367484221
Rx OUD no heroin	0.09852066756759795	0.10224430405576525	0.7749393805752226	48094645957.545456	0.03481982771019955	0.0503438258375645	0.9148363464522336
Rx OUD with heroin	0.253865821958024	0.3101197429761924	0.7178243801726163	2028299761.9504545	0.0017392332878992602	0.17013560510972459	0.8281251616023755
Nondisordered heroin use	0.26628572923444155	0.2692779159297713	0.20087002766608494	41428043233.0	0.004650642496070307	0.14532887727968943	0.8500204802242409
Heroin use disorder	0.11609525020019447	0.118851216154457	0.8360710774703296	48852554304.318184	0.007465546872199124	0.03235519202467278	0.9601792611031288
MOUD Tx (buprenorphine)	0.030501210543564916	0.11188990022350195	0.9976192304949931	181098212.9751527	0.006632412048962352	0.0719476719471189	0.9214199160040615
MOUD Tx (methadone)	0.015620627582344927	0.02467675827905491	0.9534861361818495	231711470.13636363	0.031655693909542884	0.08951062066557419	0.8788336854248917
MOUD Tx (Vivitrol)	0.021976007194007	0.03953717348151643	0.999563507802658	88206.76892095426	0.20518770675744016	0.1550548486938528	0.6397574445485279
Rx misuse initiation (own Rx)	0.0980498982702564	0.11061138288860768	0.5063369990263143	1508846423.7272727	0.0006633606189344439	0.0004922347171972727	0.998844404663868
Rx misuse initiation (diverted)	0.04737863561462987	0.05454924617047551	0.9527871165748458	8577662571.772727	0.007944037458778995	0.012122748781282269	0.9799332137599387
Total heroin initiation	0.19253742694105813	0.21119944149242353	0.5128826812397974	7673681636.954545	0.030050327882742627	0.011592241281629249	0.9583574308356281
Heroin initiation (direct)	0.22343858362533559	0.2491686173031563	0.19237113652778845	798926249.5472728	0.0006232077351251332	0.5003225399147986	0.4990542523500726
Heroin initiation (Rx misuse)	0.2045772909694708	0.24207760568657372	0.5818258608673306	1245548904.0227273	0.015306418863875746	0.021836785936875183	0.9628567951992506
Heroin initiation (Rx OUD)	0.18897066956306846	0.24100824895126774	0.7538774562468253	1082757416.895	0.014994803480589588	0.004097589815718875	0.9809076067036914
Overdose deaths (Rx opioids only)	0.09424412343922846	0.11375442911532786	0.8940298832893079	1388575.2337000004	0.0002736376159586223	0.3726849270002145	0.6270414353838214
Overdose deaths (heroin & illicit synthetics)	0.19259355680341828	0.4244237723177489	0.9686674145196302	9281391.242263634	0.008443992980613466	0.22089744047124388	0.770658566548132
Overdose deaths (synthetics base)	0.08794618965298183	0.08570487949916032	0.9001790953344696	57985.09238571434	0.0266301750621153	0.056268836823088975	0.9171009881147958
Total overdose deaths	0.08304588159531393	0.09351270374063655	0.9691988673266102	8185676.921345454	0.010158297106533673	0.10100724270808979	0.888834460185376
Total Rx opioid use disorder	0.09383053632587839	0.09961760213814562	0.798212263483871	54625856261.977715	0.03353534978059825	0.038001435016454255	0.9284632152029474
Total Rx misuse initiation	0.05250554875188348	0.061110012026666966	0.9340204169479326	14704565357.863636	0.005825349460195141	0.0018291825024164964	0.9923454680373895
Overdose deaths (Rx + Rx synthetics)	0.08371266973371636	0.10086743441120018	0.9676194922641197	1595705.195085715	0.12351776838282937	0.5674321550052426	0.3090500766119443
Average	0.12697570100754896	0.15999841961507802	0.7560458647439449	35084019212.41991	0.02291553874510259	0.12800251204086935	0.8490819492140252
